Date,Open,High,Low,Close,Volume
2023-01-01,1800.50,1805.20,1798.30,1802.75,50000
2023-01-02,1802.75,1808.90,1800.15,1806.40,55000
2023-01-03,1806.40,1812.60,1804.20,1810.85,48000
2023-01-04,1810.85,1816.30,1808.50,1814.70,52000
2023-01-05,1814.70,1820.15,1812.40,1818.90,49000
2023-01-06,1818.90,1824.75,1816.60,1822.30,53000
2023-01-07,1822.30,1828.40,1820.10,1826.85,47000
2023-01-08,1826.85,1832.20,1824.50,1830.60,51000
2023-01-09,1830.60,1836.90,1828.30,1834.75,48000
2023-01-10,1834.75,1840.40,1832.60,1838.20,54000
2023-01-11,1838.20,1843.80,1836.10,1841.90,46000
2023-01-12,1841.90,1847.50,1839.70,1845.60,52000
2023-01-13,1845.60,1851.20,1843.40,1849.35,49000
2023-01-14,1849.35,1854.90,1847.10,1853.70,53000
2023-01-15,1853.70,1859.30,1851.50,1857.20,47000
2023-01-16,1857.20,1862.80,1855.00,1860.95,51000
2023-01-17,1860.95,1866.40,1858.70,1864.50,48000
2023-01-18,1864.50,1870.10,1862.30,1868.85,54000
2023-01-19,1868.85,1874.60,1866.60,1872.40,46000
2023-01-20,1872.40,1878.20,1870.20,1876.75,52000
2023-01-21,1876.75,1882.50,1874.60,1880.30,49000
2023-01-22,1880.30,1885.90,1878.10,1884.60,53000
2023-01-23,1884.60,1890.40,1882.40,1888.20,47000
2023-01-24,1888.20,1893.80,1886.00,1891.90,51000
2023-01-25,1891.90,1897.50,1889.70,1895.60,48000
2023-01-26,1895.60,1901.20,1893.40,1899.30,54000
2023-01-27,1899.30,1904.90,1897.10,1903.50,46000
2023-01-28,1903.50,1909.20,1901.30,1907.80,52000
2023-01-29,1907.80,1913.60,1905.60,1911.40,49000
2023-01-30,1911.40,1917.10,1909.20,1915.70,53000
