Date,Open,High,Low,Close,Volume
01/01/2023,23800.5,23850.2,23750.1,23820.8,1000000
02/01/2023,23820.8,23870.3,23800.2,23845.6,1200000
03/01/2023,23845.6,23890.1,23825.4,23878.9,1100000
04/01/2023,23878.9,23920.5,23860.2,23895.3,1300000
05/01/2023,23895.3,23935.8,23885.7,23912.4,1150000
06/01/2023,23912.4,23945.2,23900.1,23928.6,1250000
07/01/2023,23928.6,23960.8,23915.3,23942.7,1080000
08/01/2023,23942.7,23975.4,23930.5,23958.2,1320000
09/01/2023,23958.2,23990.6,23945.8,23975.1,1200000
10/01/2023,23975.1,24005.8,23960.4,23989.7,1180000
11/01/2023,23989.7,24020.3,23975.2,24002.8,1340000
12/01/2023,24002.8,24035.6,23990.1,24018.4,1220000
13/01/2023,24018.4,24050.2,24005.7,24035.9,1290000
14/01/2023,24035.9,24068.5,24020.3,24052.1,1160000
15/01/2023,24052.1,24085.7,24038.4,24069.2,1350000
16/01/2023,24069.2,24102.8,24055.6,24085.7,1240000
17/01/2023,24085.7,24118.4,24072.1,24101.9,1310000
18/01/2023,24101.9,24135.6,24088.3,24118.8,1190000
19/01/2023,24118.8,24152.4,24105.2,24135.6,1280000
20/01/2023,24135.6,24169.8,24122.1,24152.3,1170000
21/01/2023,24152.3,24186.7,24138.9,24169.5,1320000
22/01/2023,24169.5,24203.2,24156.1,24186.4,1250000
23/01/2023,24186.4,24220.6,24173.2,24203.8,1300000
24/01/2023,24203.8,24237.9,24190.4,24220.2,1180000
25/01/2023,24220.2,24255.1,24207.6,24237.5,1340000
26/01/2023,24237.5,24272.8,24224.1,24255.3,1260000
27/01/2023,24255.3,24290.6,24242.7,24272.9,1290000
28/01/2023,24272.9,24308.4,24259.2,24290.1,1210000
29/01/2023,24290.1,24326.7,24276.8,24308.5,1330000
30/01/2023,24308.5,24345.2,24294.9,24326.8,1270000
