code,horizon,base_date,future_date,last_price,predicted_return,predicted_price
CTG,3_days,2025-07-25,2025-07-30,45.6,-0.06,45.95
CTG,5_days,2025-07-25,2025-08-01,45.6,-0.35,45.79
CTG,10_days,2025-07-25,2025-08-08,45.6,0.19,46.15
CTG,15_days,2025-07-25,2025-08-15,45.6,0.1,46.53
CTG,30_days,2025-07-25,2025-09-05,45.6,0.11,46.26
BID,3_days,2025-07-25,2025-07-30,38.85,0.25,40.45
BID,5_days,2025-07-25,2025-08-01,38.85,0.24,40.56
BID,10_days,2025-07-25,2025-08-08,38.85,0.19,40.78
BID,15_days,2025-07-25,2025-08-15,38.85,0.42,41.13
BID,30_days,2025-07-25,2025-09-05,38.85,0.29,41.37
ACB,3_days,2025-07-25,2025-07-30,23.6,-0.52,24.26
ACB,5_days,2025-07-25,2025-08-01,23.6,0.09,24.34
ACB,10_days,2025-07-25,2025-08-08,23.6,0.01,24.25
ACB,15_days,2025-07-25,2025-08-15,23.6,0.22,24.49
ACB,30_days,2025-07-25,2025-09-05,23.6,0.48,25.6
FPT,3_days,2025-07-25,2025-07-30,110.7,0.46,112.95
FPT,5_days,2025-07-25,2025-08-01,110.7,0.09,113.52
FPT,10_days,2025-07-25,2025-08-08,110.7,0.13,113.94
FPT,15_days,2025-07-25,2025-08-15,110.7,1.29,118.1
FPT,30_days,2025-07-25,2025-09-05,110.7,-0.44,117.17
HDB,3_days,2025-07-25,2025-07-30,28.25,0.09,27.5
HDB,5_days,2025-07-25,2025-08-01,28.25,0.83,27.66
HDB,10_days,2025-07-25,2025-08-08,28.25,0.74,28.4
HDB,15_days,2025-07-25,2025-08-15,28.25,0.37,28.96
HDB,30_days,2025-07-25,2025-09-05,28.25,-0.58,29.12
VHM,3_days,2025-07-25,2025-07-30,93.7,-0.18,96.11
VHM,5_days,2025-07-25,2025-08-01,93.7,-0.48,95.39
VHM,10_days,2025-07-25,2025-08-08,93.7,-1.04,91.5
VHM,15_days,2025-07-25,2025-08-15,93.7,0.5,91.2
VHM,30_days,2025-07-25,2025-09-05,93.7,0.04,93.45
SSB,3_days,2025-07-25,2025-07-30,20.7,-0.53,21.31
SSB,5_days,2025-07-25,2025-08-01,20.7,0.27,21.42
SSB,10_days,2025-07-25,2025-08-08,20.7,0.17,21.56
SSB,15_days,2025-07-25,2025-08-15,20.7,0.2,21.72
SSB,30_days,2025-07-25,2025-09-05,20.7,0.46,22.7
BVH,3_days,2025-07-25,2025-07-30,52.0,0.11,53.66
BVH,5_days,2025-07-25,2025-08-01,52.0,0.01,53.7
BVH,10_days,2025-07-25,2025-08-08,52.0,0.3,54.15
BVH,15_days,2025-07-25,2025-08-15,52.0,0.4,55.01
BVH,30_days,2025-07-25,2025-09-05,52.0,-0.12,55.78
LPB,3_days,2025-07-25,2025-07-30,35.25,-0.23,35.47
LPB,5_days,2025-07-25,2025-08-01,35.25,-0.12,35.47
LPB,10_days,2025-07-25,2025-08-08,35.25,-0.0,35.79
LPB,15_days,2025-07-25,2025-08-15,35.25,0.55,36.54
LPB,30_days,2025-07-25,2025-09-05,35.25,0.01,38.87
GVR,3_days,2025-07-25,2025-07-30,31.2,0.27,32.36
GVR,5_days,2025-07-25,2025-08-01,31.2,-0.07,32.36
GVR,10_days,2025-07-25,2025-08-08,31.2,0.65,32.79
GVR,15_days,2025-07-25,2025-08-15,31.2,0.36,32.16
GVR,30_days,2025-07-25,2025-09-05,31.2,1.15,34.33
VJC,3_days,2025-07-25,2025-07-30,121.9,1.23,126.07
VJC,5_days,2025-07-25,2025-08-01,121.9,0.81,128.14
VJC,10_days,2025-07-25,2025-08-08,121.9,0.32,130.04
VJC,15_days,2025-07-25,2025-08-15,121.9,0.94,137.07
VJC,30_days,2025-07-25,2025-09-05,121.9,0.47,156.66
STB,3_days,2025-07-25,2025-07-30,48.8,0.03,49.2
STB,5_days,2025-07-25,2025-08-01,48.8,0.11,49.11
STB,10_days,2025-07-25,2025-08-08,48.8,-0.02,49.07
STB,15_days,2025-07-25,2025-08-15,48.8,0.05,49.55
STB,30_days,2025-07-25,2025-09-05,48.8,0.25,51.83
MWG,3_days,2025-07-25,2025-07-30,70.1,-0.27,70.6
MWG,5_days,2025-07-25,2025-08-01,70.1,-0.21,70.23
MWG,10_days,2025-07-25,2025-08-08,70.1,0.23,70.19
MWG,15_days,2025-07-25,2025-08-15,70.1,0.13,70.38
MWG,30_days,2025-07-25,2025-09-05,70.1,-0.27,71.73
TPB,3_days,2025-07-25,2025-07-30,15.6,-1.33,15.89
TPB,5_days,2025-07-25,2025-08-01,15.6,0.16,15.95
TPB,10_days,2025-07-25,2025-08-08,15.6,0.08,16.07
TPB,15_days,2025-07-25,2025-08-15,15.6,0.41,16.5
TPB,30_days,2025-07-25,2025-09-05,15.6,0.35,16.93
VIB,3_days,2025-07-25,2025-07-30,18.4,-0.58,18.89
VIB,5_days,2025-07-25,2025-08-01,18.4,-0.37,18.73
VIB,10_days,2025-07-25,2025-08-08,18.4,0.05,18.62
VIB,15_days,2025-07-25,2025-08-15,18.4,0.22,18.84
VIB,30_days,2025-07-25,2025-09-05,18.4,0.22,18.58
GAS,3_days,2025-07-25,2025-07-30,68.7,0.07,71.07
GAS,5_days,2025-07-25,2025-08-01,68.7,-0.06,70.94
GAS,10_days,2025-07-25,2025-08-08,68.7,0.31,71.37
GAS,15_days,2025-07-25,2025-08-15,68.7,-0.33,70.98
GAS,30_days,2025-07-25,2025-09-05,68.7,-0.11,72.11
SHB,3_days,2025-07-25,2025-07-30,15.05,0.92,15.7
SHB,5_days,2025-07-25,2025-08-01,15.05,-1.38,15.51
SHB,10_days,2025-07-25,2025-08-08,15.05,-0.19,15.65
SHB,15_days,2025-07-25,2025-08-15,15.05,0.39,15.97
SHB,30_days,2025-07-25,2025-09-05,15.05,0.39,16.69
SAB,3_days,2025-07-25,2025-07-30,49.1,0.24,51.03
SAB,5_days,2025-07-25,2025-08-01,49.1,0.05,51.07
SAB,10_days,2025-07-25,2025-08-08,49.1,-0.43,50.96
SAB,15_days,2025-07-25,2025-08-15,49.1,0.03,51.43
SAB,30_days,2025-07-25,2025-09-05,49.1,0.15,52.33
PLX,3_days,2025-07-25,2025-07-30,38.1,0.42,39.73
PLX,5_days,2025-07-25,2025-08-01,38.1,0.45,40.03
PLX,10_days,2025-07-25,2025-08-08,38.1,-0.0,40.57
PLX,15_days,2025-07-25,2025-08-15,38.1,0.67,42.09
PLX,30_days,2025-07-25,2025-09-05,38.1,0.32,48.21
VNM,3_days,2025-07-25,2025-07-30,63.2,0.21,63.95
VNM,5_days,2025-07-25,2025-08-01,63.2,0.3,64.23
VNM,10_days,2025-07-25,2025-08-08,63.2,0.19,64.26
VNM,15_days,2025-07-25,2025-08-15,63.2,-0.16,64.86
VNM,30_days,2025-07-25,2025-09-05,63.2,-0.1,65.37
BCM,3_days,2025-07-25,2025-07-30,69.8,0.15,70.55
BCM,5_days,2025-07-25,2025-08-01,69.8,-0.18,70.28
BCM,10_days,2025-07-25,2025-08-08,69.8,-0.52,70.63
BCM,15_days,2025-07-25,2025-08-15,69.8,0.06,71.14
BCM,30_days,2025-07-25,2025-09-05,69.8,-0.29,69.57
MSN,3_days,2025-07-25,2025-07-30,75.8,-0.55,76.21
MSN,5_days,2025-07-25,2025-08-01,75.8,-0.29,75.84
MSN,10_days,2025-07-25,2025-08-08,75.8,-0.12,74.55
MSN,15_days,2025-07-25,2025-08-15,75.8,0.28,74.3
MSN,30_days,2025-07-25,2025-09-05,75.8,0.25,75.93
SSI,3_days,2025-07-25,2025-07-30,34.0,-0.72,34.7
SSI,5_days,2025-07-25,2025-08-01,34.0,-1.49,33.52
SSI,10_days,2025-07-25,2025-08-08,34.0,-1.1,32.19
SSI,15_days,2025-07-25,2025-08-15,34.0,0.88,31.22
SSI,30_days,2025-07-25,2025-09-05,34.0,0.5,30.84
VIC,3_days,2025-07-25,2025-07-30,114.1,-0.37,115.26
VIC,5_days,2025-07-25,2025-08-01,114.1,0.12,114.76
VIC,10_days,2025-07-25,2025-08-08,114.1,0.27,115.26
VIC,15_days,2025-07-25,2025-08-15,114.1,-0.89,115.65
VIC,30_days,2025-07-25,2025-09-05,114.1,-0.09,114.96
TCB,3_days,2025-07-25,2025-07-30,35.2,-0.12,36.44
TCB,5_days,2025-07-25,2025-08-01,35.2,-0.0,36.42
TCB,10_days,2025-07-25,2025-08-08,35.2,0.23,36.6
TCB,15_days,2025-07-25,2025-08-15,35.2,0.57,37.7
TCB,30_days,2025-07-25,2025-09-05,35.2,0.67,39.98
HPG,3_days,2025-07-25,2025-07-30,26.05,-0.53,26.09
HPG,5_days,2025-07-25,2025-08-01,26.05,0.15,25.99
HPG,10_days,2025-07-25,2025-08-08,26.05,0.33,26.15
HPG,15_days,2025-07-25,2025-08-15,26.05,0.08,26.6
HPG,30_days,2025-07-25,2025-09-05,26.05,0.18,27.43
VCB,3_days,2025-07-25,2025-07-30,62.0,0.05,62.69
VCB,5_days,2025-07-25,2025-08-01,62.0,-0.03,62.61
VCB,10_days,2025-07-25,2025-08-08,62.0,-0.2,62.03
VCB,15_days,2025-07-25,2025-08-15,62.0,-0.17,61.89
VCB,30_days,2025-07-25,2025-09-05,62.0,0.13,63.43
MBB,3_days,2025-07-25,2025-07-30,28.45,0.21,29.44
